id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
2HcyIzVsX45jLIxK7SH2aI,One Love / People Get Ready - Medley,74,172933,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],03-01-1977,Happy,
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,74,261413,['Talking Heads'],['2x9SpqnPi8rlE9pjHBwmSC'],16-09-1977,Happy,https://open.spotify.com/track/1i6N76fftMZhijOzFQ5ZtL
6mHOcVtsHLMuesJkswc0GZ,The Logical Song - Remastered 2010,74,251253,['Supertramp'],['3JsMj0DEzyWc0VDlHuy9Bx'],29-03-1979,Happy,https://open.spotify.com/track/6mHOcVtsHLMuesJkswc0GZ
1HOMkjp0nHMaTnfAkslCQj,My Sharona,74,295400,['The Knack'],['0Nn9YwJzcaeuU1jJL06e3r'],01-01-1979,Happy,https://open.spotify.com/track/1HOMkjp0nHMaTnfAkslCQj
5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,74,200480,['The Clash'],['3RGLhK1IP9jnYFH4BRFJBS'],1979,Happy,https://open.spotify.com/track/5jzma6gCzYtKB1DbEwFZKH
72ahyckBJfTigJCFCviVN7,Don't Bring Me Down,74,243373,['Electric Light Orchestra'],['7jefIIksOi1EazgRTfW2Pk'],31-05-1979,Happy,https://open.spotify.com/track/72ahyckBJfTigJCFCviVN7
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,74,205467,['Rick James'],['0FrpdcVlJQqibaz5HfBUrL'],07-04-1981,Happy,https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca
0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,74,228000,['Kim Carnes'],['5PN2aHIvLEM98XIorsPMhE'],01-01-1981,Happy,https://open.spotify.com/track/0odIT9B9BvOCnXfS0e4lB5
1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,74,216533,['The J. Geils Band'],['69Mj3u4FTUrpyeGNSIaU6F'],1981,Happy,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt
5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,74,302413,['Bronski Beat'],['2wpWOzQE5TpA0dVnh5YD08'],15-10-1984,Happy,https://open.spotify.com/track/5vmRQ3zELMLUQPo2FLQ76x
4oDZ5L8izBals6jKBJDBcX,Your Love,74,216467,['The Outfield'],['1zxDewzd2j1ZdSBGaYcr0y'],29-06-1985,Happy,https://open.spotify.com/track/0WoFs3EdGOx58yX5BtXvOa
62LJFaYihsdVrrkgUOJC05,Kiss,74,226240,['Prince'],['5a2EaR3hamoenG9rDuVn8j'],31-03-1986,Happy,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
